"SCAPACITY_MIN";"SCAPACITY_MAX";"BASETARIFF";"VALID_FROM";"VALID_TO"
10;19;330;"2010-01-01";"2010-12-31"
20;79;740;"2010-01-01";"2010-12-31"
80;999999;1050;"2010-01-01";"2010-12-31"
10;19;330;2011-01-01;"2011-12-31"
20;42;740;2011-01-01;"2011-12-31"
43;79;740;2011-01-01;"2011-12-31"
80;999999;1050;2011-01-01;"2011-12-31"
10;19;330;2012-01-01;"2012-12-31"
20;42;740;2012-01-01;"2012-12-31"
43;79;740;2012-01-01;"2012-12-31"
80;999999;1050;2012-01-01;"2012-12-31"
10;19;330;2013-01-01;"2013-12-31"
20;42;740;2013-01-01;"2013-12-31"
43;79;740;2013-01-01;"2013-12-31"
80;999999;1050;2013-01-01;"2013-12-31"
